nr,x1_izolat_g,x2_pasta_g,x3_syrop_g,x4_quinoa_g,koszt_PLN,bialko_g,tluszcz_g,spelnia_ograniczenia
49,29.4625,25.6268,32.6379,12.2728,833.1808,34.6411,13.5498,1
50,29.6324,29.29,20.2445,20.8331,874.3168,36.9083,15.895,1
51,17.6129,29.9021,29.0054,23.4796,698.0959,26.6143,16.3598,1
52,31.3914,22.5152,27.0046,19.0888,872.6363,36.5535,12.4029,1
53,31.7476,26.4894,31.627,10.136,865.2085,36.6142,13.8528,1
54,26.879,22.359,28.8141,21.9479,810.7252,32.8536,12.4964,1
55,35.2083,27.3268,21.1636,16.3013,940.2766,40.8014,14.6415,1
56,30.536,26.2658,30.0896,13.1086,854.5643,35.8841,13.9194,1
57,34.9874,20.8032,30.8905,13.3188,905.0729,38.5541,11.2007,1
58,32.9634,20.8282,32.2985,13.9099,875.5608,36.8215,11.2487,1
59,33.2774,25.4136,32.6309,8.6781,880.7814,37.518,13.2275,1
60,23.8652,39.549,16.4125,20.1732,818.8527,34.1902,20.9849,0
61,25.1362,39.6765,21.9696,13.2177,818.1326,34.3922,20.6313,0
62,39.1234,17.7414,34.6639,8.4713,943.9219,40.8324,9.379,1
63,37.8161,25.5099,26.2757,10.3983,956.6291,41.8677,13.3789,1
64,25.2701,32.2212,32.4177,10.091,784.7334,32.2111,16.7161,1
65,27.639,39.1707,19.9337,13.2566,855.2719,36.5237,20.3807,0
66,30.4297,32.9962,30.7541,5.82,854.6071,36.4506,16.8473,1
67,37.1558,22.308,18.9583,21.5779,968.7268,42.0381,12.4487,1
68,33.7661,27.8402,25.5719,12.8218,909.2802,39.1446,14.6894,1
69,31.0909,25.6658,20.2555,22.9878,890.7028,37.6166,14.2122,1
70,28.9638,35.5032,23.0352,12.4978,860.6933,36.6929,18.5015,1
71,39.1285,28.1904,26.5263,6.1548,973.623,43.1249,14.4645,1
72,30.4087,30.9959,24.8587,13.7367,871.0306,37.0399,16.3222,1
73,16.5417,34.7189,31.7871,16.9523,678.77,25.9406,18.3766,1
74,36.4991,22.4225,28.2109,12.8676,932.8175,40.2563,11.9833,1
75,12.001,37.6311,28.1973,22.1706,634.2369,23.3126,20.1458,0
76,31.2017,24.2745,27.6158,16.908,869.311,36.5173,13.1518,1
77,29.9428,20.8057,32.5965,16.6551,836.8978,34.4816,11.4021,1
78,38.6852,31.237,21.7015,8.3763,984.0793,43.7986,16.1211,1
79,39.0708,26.2891,25.7883,8.8518,974.1652,42.9753,13.6756,1
80,31.4856,35.7009,23.8225,8.991,889.9536,38.521,18.3899,1
81,33.8513,22.6343,24.028,19.4864,912.3743,38.8528,12.4863,1
82,12.0078,38.5511,28.8259,20.6152,632.8957,23.3309,20.5125,0
83,33.4396,23.1159,33.9797,9.4648,877.6143,37.1997,12.1258,1
84,13.6451,35.5894,30.7525,20.0129,646.1007,23.9798,18.9955,0
85,13.9941,27.4677,33.7578,24.7805,637.3865,22.9309,15.2207,0
86,37.3696,36.3793,18.1729,8.0782,980.7911,43.8584,18.6743,1
87,22.4934,34.9009,29.7787,12.827,759.2821,30.7651,18.2201,1
88,31.0924,31.2175,20.5518,17.1383,892.6087,38.1869,16.637,1
89,31.1632,36.8097,15.0454,16.9817,912.809,39.6268,19.4237,1
90,33.2407,32.1217,27.4274,7.2102,899.2877,38.9565,16.4935,1
91,34.012,22.7647,34.5168,8.7064,882.9824,37.5209,11.9047,1
92,24.844,37.2815,31.3384,6.5361,785.1751,32.595,19.0329,1
93,34.3433,16.3821,33.4842,15.7905,887.0293,37.2151,9.1385,1
94,15.6365,34.7355,30.914,18.714,670.0819,25.3767,18.4906,1
95,22.5584,30.791,23.9998,22.6507,775.376,31.1714,16.7546,1
96,36.6081,33.6854,15.3932,14.3132,978.2646,43.3725,17.7015,1
97,34.9542,33.8088,19.9179,11.3191,944.0786,41.4957,17.5836,1
98,27.6704,37.7709,26.1293,8.4293,836.3776,35.5262,19.3912,1
99,25.3035,29.2248,34.431,11.0407,777.6132,31.6251,15.2748,1
100,23.4378,39.6245,25.1948,11.7429,787.2,32.6441,20.5168,0
101,33.2047,35.5512,25.6288,5.6152,905.9481,39.5582,18.1125,1
102,10.2545,38.3441,33.2465,18.155,597.6131,21.3567,20.2613,0
103,32.0164,33.325,27.6227,7.0358,883.9995,38.131,17.0847,1
104,39.5219,34.9534,17.4564,8.0683,1009.1312,45.4376,17.9608,1
105,38.6654,33.1429,22.9211,5.2707,981.1251,43.8224,16.8877,1
106,28.5429,17.0712,31.6301,22.7557,820.4319,33.1422,9.901,1
107,27.7057,21.8439,28.1686,22.2818,822.7372,33.5155,12.2589,1
108,37.1064,30.575,23.3259,8.9926,959.1399,42.2985,15.8271,1
109,25.2968,37.6105,19.5714,17.5213,826.3007,34.6227,19.8565,1
110,38.9675,27.4952,16.3297,17.2076,1001.8518,44.3536,14.7801,1
111,22.6624,39.8335,27.142,10.3622,771.7712,31.8053,20.5385,0
112,34.2563,29.9072,19.5928,16.2437,934.379,40.5816,15.9282,1
113,23.3592,31.5526,32.4152,12.6729,760.5211,30.6857,16.5367,1
114,29.2063,26.9822,18.9384,24.8732,871.7545,36.5134,14.9835,1
115,31.4963,30.8361,26.0637,11.6038,880.9303,37.6802,16.1143,1
116,28.6378,37.1136,21.7132,12.5354,861.3895,36.8074,19.3089,1
117,23.4465,26.7253,33.3836,16.4445,756.293,30.0854,14.3493,1
118,31.903,23.3687,32.0711,12.6572,864.2585,36.3269,12.4438,1
119,23.441,31.365,25.196,19.9981,783.1067,31.7378,16.8824,1
120,30.6767,23.1331,22.6843,23.5059,876.973,36.6832,12.9769,1
121,19.1392,37.1454,23.3617,20.3537,737.7274,29.3611,19.7939,1
122,25.5565,38.9057,28.545,6.9928,803.2748,33.7063,19.8724,1
123,32.4657,37.5188,19.0324,10.9832,917.4832,40.1364,19.4184,1
124,22.3723,28.269,26.8144,22.5443,763.3446,30.3585,15.4872,1
125,22.1191,27.1744,26.2577,24.4488,761.303,30.1236,15.0541,1
126,31.4688,24.7792,21.6181,22.1339,890.8953,37.6155,13.7177,1
127,19.0539,31.6003,32.4724,16.8734,706.5566,27.4109,16.8126,1
128,25.201,39.882,23.4041,11.5129,814.741,34.2632,20.6318,0
129,11.8633,36.5524,27.6135,23.9708,633.7276,23.171,19.7145,0
130,27.6947,26.6843,25.285,20.336,833.6707,34.4433,14.5623,1
131,39.6856,15.9954,24.0572,20.2617,981.8962,42.5526,9.2134,1
132,30.2051,29.4109,29.659,10.725,853.2923,36.0388,15.3489,1
133,34.0561,30.1809,15.6398,20.1233,943.8721,41.013,16.2978,1
134,27.5243,28.6994,20.8748,22.9015,845.7785,35.1529,15.7238,1
135,10.1008,34.7683,32.0804,23.0505,597.4031,21.0099,18.7672,0
136,32.1085,22.5722,29.1049,16.2144,875.3277,36.8107,12.259,1
137,32.9593,27.3248,22.7654,16.9505,907.3575,38.8676,14.6794,1
138,38.4525,25.3165,18.2735,17.9576,988.4934,43.4504,13.7357,1
139,27.9038,27.3577,24.8227,19.9158,838.0083,34.7411,14.8738,1
140,30.3136,25.9823,29.4937,14.2104,853.4306,35.7673,13.8438,1
141,23.9245,22.8528,29.342,23.8807,772.4562,30.5885,12.8592,1
142,10.6854,37.4925,29.3064,22.5158,614.394,22.1421,20.0972,0
143,32.6302,29.3652,25.5622,12.4424,895.8739,38.4504,15.4291,1
144,37.1755,29.9903,23.9229,8.9112,957.9206,42.2031,15.5298,1
145,20.1579,31.1917,27.6673,20.9832,734.5673,28.8776,16.8548,1
146,27.3326,31.81,19.1278,21.7297,850.1789,35.594,17.2088,1
147,23.3176,36.0258,34.2984,6.3581,756.5882,30.8825,18.3944,1
148,30.2264,37.3427,16.2345,16.1964,897.7979,38.8069,19.6431,1
149,22.9672,36.7781,32.0736,8.1811,759.2581,31.0104,18.8799,1
150,38.9119,21.0785,19.572,20.4376,988.2219,43.1516,11.7655,1
151,26.0979,34.5518,19.7,19.6503,834.3994,34.8771,18.4549,1
152,36.7538,31.8281,18.1438,13.2743,970.9045,42.8938,16.7105,1
153,26.0151,27.8651,31.9423,14.1775,793.2948,32.3647,14.7832,1
154,32.1852,39.0012,16.9053,11.9084,921.0995,40.3841,20.2151,0
155,33.6864,25.2549,30.0375,11.0212,893.5952,38.1745,13.2887,1
156,26.8665,38.8954,21.8756,12.3624,839.6525,35.6345,20.1895,0
157,30.1289,27.5014,17.8963,24.4734,886.673,37.4176,15.2191,1
158,34.4368,35.7944,22.0643,7.7044,932.1643,41.0204,18.3595,1
159,36.2404,29.5708,18.4109,15.7778,962.5575,42.218,15.7321,1
160,23.0599,37.1938,34.4229,5.3235,753.5774,30.7977,18.9163,1
161,37.8396,21.1857,28.472,12.5028,948.1712,41.1024,11.343,1
162,32.2646,23.9877,26.9626,16.7851,884.4132,37.385,13.001,1
163,29.8234,17.5212,27.8163,24.8391,848.1049,34.6989,10.2509,1
164,32.3116,30.2678,17.1148,20.3057,917.6846,39.4902,16.3523,1
165,32.247,22.7898,21.3383,23.625,900.4675,38.0272,12.8124,1
166,12.5109,33.4415,32.9273,21.1203,624.3247,22.577,17.988,0
167,24.0105,29.3321,25.5665,21.0909,788.0977,31.8952,15.9315,1
168,32.6154,37.8529,18.1672,11.3645,922.1179,40.4081,19.6083,1
169,16.5712,32.1549,34.3979,16.8761,670.0236,25.3154,17.09,1
170,22.6943,25.2018,32.3949,19.709,749.0945,29.4846,13.7834,1
171,30.3472,25.5693,26.229,17.8546,863.4382,36.2045,13.8559,1
172,20.6891,27.6297,27.3496,24.3317,740.3795,28.934,15.2747,1
173,20.0204,27.3281,29.4419,23.2097,725.5934,28.0997,15.0566,1
174,13.5967,36.3942,29.5368,20.4724,649.5452,24.2017,19.4254,0
175,30.0841,31.7157,27.0578,11.1424,860.7355,36.5645,16.5264,1
176,34.5127,26.9639,25.2429,13.2805,919.1625,39.6617,14.2788,1
177,29.1737,27.2417,19.992,23.5925,868.3165,36.3697,15.0364,1
178,34.7976,34.2073,15.5438,15.4513,955.4421,42.0328,18.0307,1
179,21.2066,35.6058,32.2118,10.9758,736.2505,29.524,18.4614,1
180,36.6133,23.2611,18.3592,21.7664,964.2188,41.8145,12.9365,1
181,33.0782,15.2551,32.6775,18.9893,873.0726,36.2426,8.7669,1
182,26.4537,15.8833,34.6626,23.0004,784.6244,30.9992,9.3217,1
183,12.2168,36.6717,30.4838,20.6278,629.5944,23.0509,19.5735,0
184,37.9665,29.6173,24.1373,8.2788,966.9784,42.7333,15.3054,1
185,33.1283,36.0577,15.48,15.3341,935.693,40.9767,18.9489,1
186,27.1526,33.2196,24.6642,14.9637,832.0244,34.8371,17.5076,1
187,25.5718,37.7993,16.2065,20.4224,839.9275,35.3236,20.125,0
188,31.0354,28.2575,15.8071,24.8999,904.65,38.4822,15.6228,1
189,23.3842,32.5589,21.3741,22.6829,794.4597,32.3611,17.6404,1
190,39.0767,25.3287,23.8322,11.7624,979.627,43.148,13.3701,1
191,29.4076,31.334,20.912,18.3464,870.5262,36.8688,16.7678,1
192,34.8547,24.8677,34.3227,5.9549,895.1491,38.4198,12.7911,1
193,33.3549,26.2105,17.8827,22.5518,926.3937,39.7293,14.4584,1
194,20.5625,35.9236,34.3997,9.1142,721.7939,28.7631,18.5087,1
195,25.8413,28.5427,30.1482,15.4678,796.8429,32.5583,15.1994,1
196,21.8631,29.9043,31.005,17.2276,745.2258,29.5647,15.9858,1
197,23.1483,37.1019,16.8097,22.9401,807.4761,33.3206,19.9273,1
198,13.0158,38.1747,28.8971,19.9124,645.0934,24.0456,20.2821,0
199,24.3944,35.9876,22.1156,17.5024,806.5775,33.4022,19.0439,1
200,27.6424,25.564,24.1903,22.6033,835.7415,34.4336,14.1382,1
201,26.726,33.7485,32.8415,6.6839,802.4252,33.4263,17.2753,1
202,35.9263,23.1271,16.0168,24.9298,962.5912,41.6056,13.0593,1
203,35.5679,38.721,15.5433,10.1678,967.3287,43.1148,19.9705,1
204,28.6382,20.2237,31.6185,19.5196,823.2346,33.5631,11.283,1
205,29.6899,36.2402,18.2527,15.8172,884.4857,37.9954,19.0691,1
206,15.0943,37.3341,24.6206,22.9509,683.484,26.1315,20.0441,0
207,20.0721,21.0138,34.053,24.8611,709.2492,26.7989,11.9986,1
208,38.6149,18.7634,23.3458,19.2759,972.0304,42.1429,10.5382,1
209,29.4971,28.082,29.253,13.1679,844.9961,35.4114,14.8311,1
210,37.9581,24.6534,18.6038,18.7847,980.991,42.9555,13.4538,1
211,33.1808,15.8407,30.8923,20.0862,880.0037,36.635,9.1255,1
212,25.3014,22.3015,32.3709,20.0262,780.3052,31.1503,12.3523,1
213,24.2054,32.3712,30.1535,13.2699,778.2927,31.7355,16.9818,1
214,22.794,23.8347,30.6025,22.7687,755.0352,29.6609,13.2835,1
215,32.1215,30.6359,18.7088,18.5338,910.7106,39.1631,16.43,1
216,20.4932,26.1329,29.804,23.5699,729.8199,28.2769,14.4806,1
217,12.9699,34.6337,32.8413,19.5551,630.9168,23.0691,18.4902,0
218,35.6284,24.2867,29.1092,10.9758,920.1707,39.6738,12.8019,1
219,36.722,22.4198,28.4573,12.4009,934.8631,40.3909,11.9539,1
220,31.8573,28.3979,18.0831,21.6616,908.1657,38.8037,15.4987,1
221,36.7412,28.8096,21.7875,12.6617,958.3079,42.0422,15.1645,1
222,34.5412,31.1863,19.0469,15.2256,940.218,41.0153,16.5067,1
223,31.4921,24.6256,23.8894,19.993,884.2952,37.2983,13.5124,1
224,17.4319,31.7883,34.1931,16.5867,681.2134,25.9579,16.8893,1
225,31.8106,26.0081,32.3659,9.8154,863.5392,36.5057,13.593,1
226,16.8741,28.8534,31.2972,22.9753,681.4613,25.6166,15.8052,1
227,31.7656,26.2825,28.6227,13.3292,874.3434,37.0258,13.941,1
228,33.0498,19.3428,23.4681,24.1392,902.39,37.9601,11.1198,1
229,16.7796,35.8076,32.2435,15.1693,680.9181,26.1772,18.8139,1
230,33.8716,33.2524,15.4548,17.4213,943.6568,41.2365,17.6715,1
231,29.6401,32.8846,32.1719,5.3034,840.4282,35.6397,16.7605,1
232,34.4109,31.9338,27.9068,5.7485,912.3827,39.758,16.3118,1
233,29.7448,26.6991,31.4722,12.0838,840.7433,35.1369,14.0746,1
234,26.9492,23.8012,29.109,20.1406,811.4388,33.0243,13.109,1
235,31.2461,28.6656,15.2253,24.8629,909.2328,38.7687,15.8246,1
236,23.5122,32.2531,20.732,23.5027,797.8332,32.5146,17.5367,1
237,32.4655,37.1646,24.7291,5.6408,900.2144,39.2998,18.9207,1
238,26.6904,32.351,21.2039,19.7546,836.194,34.8748,17.3608,1
239,23.2389,37.2277,15.5186,24.0148,812.5449,33.584,20.0547,0
240,11.2776,32.2242,32.6057,23.8925,609.2645,21.5508,17.5457,0
241,28.8539,32.4716,15.8767,22.7978,879.2788,37.2781,17.6037,1
242,28.9758,33.0619,23.7992,14.1631,857.3307,36.3265,17.3807,1
243,21.8816,39.695,33.3627,5.0607,743.2797,30.3257,20.1511,0
244,36.2707,28.3783,21.6021,13.7489,952.7671,41.6631,15.0141,1
245,13.7753,31.6758,29.643,24.9059,649.1009,23.8036,17.3323,0
246,15.7263,29.0852,32.7238,22.4647,662.9495,24.57,15.8905,0
247,16.7373,30.9714,28.2946,23.9968,689.8178,26.1659,16.9255,1
248,31.8281,20.5866,28.9127,18.6726,871.4059,36.4061,11.4137,1
249,20.1766,26.0465,29.7646,24.0123,725.9372,28.0323,14.464,1
250,24.3704,39.984,16.0594,19.5862,826.4435,34.6714,21.1672,0
251,34.6188,25.728,23.7366,15.9166,924.3897,39.8173,13.819,1
252,37.3454,38.1512,16.9746,7.5288,984.9695,44.2027,19.5273,1
253,20.717,38.7232,28.3595,12.2003,743.2462,30.0342,20.0936,0
254,22.3015,35.9962,23.2539,18.4485,777.005,31.6532,19.105,1
255,19.0291,32.4143,24.6855,23.8711,730.0145,28.5717,17.6394,1
256,17.5727,39.9129,30.41,12.1044,698.3845,27.4882,20.6827,0
257,38.3487,25.917,26.6677,9.0667,962.3145,42.2624,13.5025,1
258,33.9284,22.398,25.9643,17.7093,907.4107,38.6143,12.2616,1
259,37.5137,17.872,26.1452,18.4691,949.4219,40.816,10.0441,1
260,31.8994,20.1872,28.1455,19.7678,874.4001,36.5238,11.2797,1
261,38.9946,17.6649,19.9763,23.3642,986.3355,42.7823,10.2343,1
262,24.5374,29.4966,26.0364,19.9296,793.357,32.248,15.9441,1
263,34.7146,24.3353,22.4128,18.5372,928.862,39.9222,13.2799,1
264,13.4021,39.0194,24.9203,22.6583,662.2748,24.9889,20.8692,0
265,31.4237,31.7487,17.7509,19.0767,905.4178,38.8892,17.019,1
266,18.6255,23.2558,33.3173,24.8014,694.4951,26.0491,13.116,1
267,22.0588,30.5539,25.0788,22.3084,765.7756,30.6146,16.6155,1
268,23.0103,36.4766,33.7492,6.7639,754.6187,30.7753,18.6441,1
269,27.0325,23.4075,29.3013,20.2587,811.7065,33.0174,12.9193,1
270,31.7779,27.5508,20.7574,19.914,898.7269,38.2757,14.9702,1
271,36.5857,31.1184,19.3321,12.9638,964.8839,42.5216,16.337,1
272,35.3071,29.7701,22.0012,12.9216,940.2204,41.0279,15.6603,1
273,27.7013,25.3354,26.3459,20.6174,829.8963,34.1515,13.9048,1
274,11.2389,39.3987,33.724,15.6384,609.0133,22.154,20.6377,0
275,33.9172,18.3996,30.409,17.2741,891.938,37.5438,10.2363,1
276,39.4643,17.1571,22.433,20.9457,984.5834,42.7395,9.8353,1
277,32.0385,31.7775,23.3848,12.7992,896.2156,38.5709,16.6567,1
278,37.9867,23.552,19.0594,19.4019,979.4314,42.7923,12.9401,1
279,17.633,27.4917,31.2651,23.6102,690.3632,26.0481,15.1625,1
280,18.0047,38.9796,25.4367,17.579,718.2384,28.4102,20.5446,0
281,38.1295,27.0303,16.3094,18.5309,991.2056,43.6684,14.627,1
282,24.9155,21.5401,29.0356,24.5088,785.1075,31.2402,12.2406,1
283,24.0617,33.7091,29.0976,13.1316,780.3333,31.9213,17.6425,1
284,26.6513,38.7398,21.5736,13.0353,837.7906,35.4961,20.152,0
285,12.2179,39.1818,24.8205,23.7798,647.8531,24.1207,21.0177,0
286,39.2171,26.9504,16.7879,17.0446,1003.3253,44.4192,14.4979,1
287,27.8085,38.2323,28.6399,5.3194,830.8028,35.3304,19.4353,1
288,29.4192,27.5487,18.8427,24.1894,874.9866,36.751,15.2257,1
289,31.4864,27.3071,26.2184,14.9881,878.5791,37.2629,14.5529,1
290,33.9516,28.7658,30.3914,6.8912,897.6031,38.7126,14.7964,1
291,29.4282,20.9024,27.7952,21.8741,844.9182,34.7734,11.7637,1
292,26.3031,35.0961,18.0644,20.5365,842.1434,35.3219,18.7802,1
293,33.8554,25.7063,29.0456,11.3927,898.9088,38.4914,13.5367,1
294,29.0053,23.8326,34.2497,12.9125,821.7334,33.8707,12.691,1
295,22.7815,34.7288,27.4942,14.9954,769.6508,31.2849,18.2641,1
296,32.3582,25.4931,32.8235,9.3252,868.7535,36.8012,13.3061,1
297,39.0424,22.1853,33.1193,5.6529,949.7652,41.4759,11.4318,1
298,34.8583,22.565,21.4711,21.1056,932.5979,39.9685,12.5488,1
299,31.0269,37.2153,21.7632,9.9946,891.1549,38.6273,19.2073,1
300,29.4457,16.9976,31.2286,22.3282,832.8837,33.8764,9.8385,1
301,27.5087,29.9851,24.0219,18.4843,836.7854,34.8419,16.1016,1
302,16.7604,33.2538,30.8049,19.1808,683.7172,26.0831,17.7778,1
303,28.5855,25.7817,27.6139,18.0189,837.368,34.695,13.972,1
304,27.9962,29.4687,26.9163,15.6188,833.9387,34.7504,15.6715,1
305,30.2022,17.6354,30.1503,22.0122,845.8939,34.6725,10.1384,1
306,37.9577,31.0866,18.5864,12.3692,984.2558,43.6653,16.2855,1
307,29.7166,30.236,15.0583,24.989,891.4013,37.8025,16.6174,1
308,26.6507,37.4683,24.1398,11.7412,829.4487,34.9965,19.4386,1
309,26.8752,34.8078,25.3013,13.0157,827.4395,34.7118,18.1848,1
310,28.8976,25.5374,31.1434,14.4216,830.5588,34.4112,13.634,1
311,20.1958,37.8273,29.1832,12.7938,733.811,29.4241,19.6813,1
312,19.4322,38.883,32.7726,8.9122,714.0257,28.4574,19.9762,1
313,24.7583,25.4458,30.1226,19.6733,781.834,31.3982,13.9033,1
314,29.738,32.8561,25.2231,12.1828,862.4836,36.6838,17.159,1
315,38.5483,26.2719,23.2759,11.9039,975.1616,42.928,13.8502,1
316,26.429,25.1979,28.9276,19.4455,806.1783,32.8079,13.7657,1
317,34.6897,31.6819,24.4199,9.2085,926.2023,40.4304,16.3935,1
318,22.2906,27.6026,25.8795,24.2274,764.7951,30.354,15.2549,1
319,35.1512,15.1258,30.9825,18.7404,904.006,38.0412,8.6873,1
320,30.9648,25.3921,26.3243,17.3188,870.783,36.641,13.7352,1
321,19.7661,28.696,27.3471,24.1908,729.3833,28.3502,15.7995,1
322,33.7299,34.1753,16.125,15.9699,940.336,41.1365,18.0458,1
323,21.5373,34.5224,22.7247,21.2155,768.3032,30.9843,18.5341,1
324,28.6128,36.3103,25.0325,10.0444,850.7183,36.2353,18.7578,1
325,14.1879,36.0288,25.7231,24.0602,668.1937,25.1447,19.458,1
326,31.9175,28.9684,27.3612,11.7529,881.3694,37.6133,15.1894,1
327,19.8147,34.0611,30.1042,16.02,724.4016,28.5913,17.9918,1
328,33.3003,22.5978,33.0221,11.0797,878.4869,37.1709,11.9637,1
329,24.3274,32.0683,29.202,14.4022,782.5206,31.9281,16.8983,1
330,38.8151,22.1226,23.7234,15.3388,975.0796,42.6117,11.9816,1
331,25.7927,25.042,26.9305,22.2347,804.1384,32.5868,13.8551,1
332,38.7279,34.7259,16.6888,9.8573,1001.3958,44.9167,17.9544,1
333,22.5455,26.8212,27.1149,23.5184,763.8846,30.2888,14.8217,1
334,39.6195,30.3133,16.8712,13.1961,1009.787,45.0833,15.9484,1
335,26.5673,28.8099,22.3521,22.2707,829.4398,34.2309,15.7412,1
336,31.2323,38.1933,20.1318,10.4426,899.1053,39.1194,19.7232,1
337,24.2852,37.2629,28.6447,9.8071,786.2629,32.5454,19.2199,1
338,10.7338,35.4279,32.3011,21.5372,604.9834,21.5326,19.0062,0
339,33.0004,39.5257,17.1251,10.3488,930.8927,41.0306,20.3838,0
340,33.5511,36.8974,20.9784,8.5732,924.9022,40.6206,18.9631,1
341,22.6603,36.5884,28.5133,12.238,766.0078,31.2547,19.0285,1
342,39.1762,24.5004,24.6507,11.6727,978.001,43.0179,12.9505,1
343,12.3755,38.293,33.0225,16.3089,624.7728,22.9945,20.125,0
344,35.0171,26.6569,32.2368,6.0892,904.3315,39.0321,13.6938,1
345,35.2539,25.3208,32.2313,7.1939,906.6401,39.0659,13.0921,1
346,28.1608,33.6816,32.2296,5.9281,822.1614,34.595,17.1965,1
347,35.3024,22.3979,28.0731,14.2265,918.2595,39.3634,12.0526,1
348,24.9038,26.2517,31.0922,17.7523,781.1464,31.4617,14.191,1
349,21.1247,28.8289,32.3119,17.7345,731.5379,28.7023,15.4785,1
350,20.37,34.3404,26.4495,18.8402,742.4462,29.5557,18.3006,1
351,20.1454,28.5331,33.427,17.8946,715.8028,27.7693,15.3402,1
352,30.1873,18.4746,26.9316,24.4065,855.7838,35.2041,10.7017,1
353,23.5256,28.6614,23.9917,23.8213,786.4252,31.6733,15.76,1
354,30.8958,21.2264,30.6535,17.2243,854.8495,35.5242,11.6467,1
355,18.8804,39.8527,30.8911,10.3759,713.2577,28.4081,20.5489,0
356,37.6624,22.5231,31.8848,7.9297,936.3868,40.6371,11.7373,1
357,32.6752,21.9339,29.5214,15.8696,880.8424,37.1129,11.9191,1
358,21.7341,26.1938,33.3007,18.7714,734.8715,28.7372,14.2232,1
359,28.9026,29.2313,22.1764,19.6896,859.3694,36.0768,15.797,1
360,27.8905,24.551,34.4588,13.0998,807.5303,33.0732,13.0615,1
